Sample,Condition,Tracer,compound,datatype,value
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,Abund,126031016.3
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,NormAbund,126031016.3
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate glucuronic acid,Abund,48224475.31
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate glucuronic acid,NormAbund,48224475.31
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate hexose,Abund,254565630.2
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Uridine diphosphate hexose,NormAbund,254565630.2
P1 Trac2,PGM1-CDG,13C6 Nutrient2,GDP-Fucose,Abund,3487702.194
P1 Trac2,PGM1-CDG,13C6 Nutrient2,GDP-Fucose,NormAbund,3487702.194
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Fructose-6-phosphate,Abund,60071090.11
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Fructose-6-phosphate,NormAbund,60071090.11
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-1-phosphate,Abund,608575207.9
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-1-phosphate,NormAbund,608575207.9
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-6-phosphate,Abund,0
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Galactose-6-phosphate,NormAbund,0
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-1-phosphate,Abund,62991671.43
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-1-phosphate,NormAbund,62991671.43
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-6-phosphate,Abund,12673101.98
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Glucose-6-phosphate,NormAbund,12673101.98
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-1-phosphate,Abund,406496.5708
P5 Trac1,PGM1-CDG,13C6 Nutrient1,Mannose-1-phosphate,NormAbund,406496.5708
